Store,Dept,Date,Weekly_Sales
1,1,2012-11-02,36739.54558038786
1,1,2012-11-09,24291.859937836016
1,1,2012-11-16,24745.384718384903
1,1,2012-11-23,29289.432327671973
1,1,2012-11-30,29432.27305693211
1,1,2012-12-07,35311.56039682639
1,1,2012-12-14,40136.49987309139
1,1,2012-12-21,42023.23573328502
1,1,2012-12-28,26336.851258082228
1,1,2013-01-04,23413.848733286104
1,1,2013-01-11,22886.687656906026
1,1,2013-01-18,25175.036571743476
1,1,2013-01-25,25180.561914782367
1,1,2013-02-01,30514.43756702594
1,1,2013-02-08,39281.90490905578
1,1,2013-02-15,49221.01916958654
1,1,2013-02-22,27450.50845201922
1,1,2013-03-01,28396.05392640142
1,1,2013-03-08,31718.346238375918
1,1,2013-03-15,34237.77938581961
1,1,2013-03-22,38725.51907758337
1,1,2013-03-29,38829.80238046561
1,1,2013-04-05,38050.144941205384
1,1,2013-04-12,31586.72950814826
1,1,2013-04-19,34116.54245921553
1,1,2013-04-26,30356.446822676924
1,1,2013-05-03,23159.52440497744
1,1,2013-05-10,24040.652267754776
1,1,2013-05-17,25085.364418424284
1,1,2013-05-24,24676.28011500833
1,1,2013-05-31,24694.163886884417
1,1,2013-06-07,24234.52163868621
1,1,2013-06-14,24473.288584412516
1,1,2013-06-21,24596.763171788225
1,1,2013-06-28,23627.548919630328
1,1,2013-07-05,23473.224666659786
1,1,2013-07-12,22638.405951367793
1,1,2013-07-19,24014.649951778767
1,1,2013-07-26,22977.14721170567
1,2,2012-11-02,48481.82763105368
1,2,2012-11-09,47805.67718074908
1,2,2012-11-16,46214.59211364106
1,2,2012-11-23,46465.34546551157
1,2,2012-11-30,47223.323549283574
1,2,2012-12-07,50316.781039480295
1,2,2012-12-14,50955.90466250915
1,2,2012-12-21,63348.72664852236
1,2,2012-12-28,43455.05068032256
1,2,2013-01-04,46364.33400838662
1,2,2013-01-11,43813.33378714387
1,2,2013-01-18,43805.064065427374
1,2,2013-01-25,42366.602956733914
1,2,2013-02-01,52907.37638633393
1,2,2013-02-08,52012.557755489455
1,2,2013-02-15,50614.761498351196
1,2,2013-02-22,50593.03601915925
1,2,2013-03-01,46893.38994699714
1,2,2013-03-08,47990.93571041431
1,2,2013-03-15,47383.11514008268
1,2,2013-03-22,48436.76835052319
1,2,2013-03-29,48668.60591464961
1,2,2013-04-05,49353.88984427663
1,2,2013-04-12,44465.78359853297
1,2,2013-04-19,46052.46161599686
1,2,2013-04-26,44370.39926433933
1,2,2013-05-03,46925.56477041033
1,2,2013-05-10,46055.270250764035
1,2,2013-05-17,46850.01993267851
1,2,2013-05-24,46312.28867417904
1,2,2013-05-31,46152.07669304115
1,2,2013-06-07,47570.43019390227
1,2,2013-06-14,47896.05470805464
1,2,2013-06-21,46845.8091302657
1,2,2013-06-28,46644.4543210531
1,2,2013-07-05,50757.49827241161
1,2,2013-07-12,44600.8829113665
1,2,2013-07-19,44855.929344914206
1,2,2013-07-26,43548.923403261215
1,3,2012-11-02,9592.115790918608
1,3,2012-11-09,10738.5626344566
1,3,2012-11-16,10202.4751861716
1,3,2012-11-23,11042.01685446415
1,3,2012-11-30,11313.874580416084
1,3,2012-12-07,12164.628542514278
1,3,2012-12-14,12062.98194565226
1,3,2012-12-21,12193.864961543783
1,3,2012-12-28,9298.787348760688
1,3,2013-01-04,12013.223058061616
1,3,2013-01-11,11010.125903285152
1,3,2013-01-18,10564.814427823792
1,3,2013-01-25,9768.582380412146
1,3,2013-02-01,11542.902459703619
1,3,2013-02-08,12203.62273551194
1,3,2013-02-15,11171.311749723598
1,3,2013-02-22,10639.764367226624
1,3,2013-03-01,10648.33013982116
1,3,2013-03-08,10941.750141230286
1,3,2013-03-15,9844.766644096773
1,3,2013-03-22,10462.91628865522
1,3,2013-03-29,10632.77926290056
1,3,2013-04-05,9785.11262133403
